,合约,名称,数量,种类
0,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,FFF,1639027.63,USDT
1,0x56452853F393eB04a77189991940C73658020b88,SUPER,244574.31,USDT
2,0xAC9394E70855B3A862656260cb3D9FB1aDd2dDCb,COW,221057.3,USDT
3,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,9CC1,135288.77,USDT
4,0xc233d2b1d7077b367a400b86e32c721e2f3dbba8,Peace DAO,79203.29,USDT
5,0x56452853F393eB04a77189991940C73658020b88,Hayya,77278.31,USDT
6,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,MAPE,71927.08,USDT
7,0x56452853F393eB04a77189991940C73658020b88,PLT,6100.77,USDT
8,0xc233d2b1d7077b367a400b86e32c721e2f3dbba8,SuperSoca,2191.05,USDT
9,0xeF120b1a8cf612CB76C6876Ce10A1454115ff480,PMM,182.05,USDT
10,0x8Dcff5Ba47aa24CFEb73A2262b7cD6D18739600c,MINE,75.91,WBNB
11,0xab86ba54d008e8e6d4747c82355cBBb90Ead1Ed0,沈腾币,31.72,WBNB
12,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,ChinaGrow,24.78,WBNB
13,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,J9BC,2.5,WBNB
