序号,名称,价格,24h涨幅,7d涨幅,基础链,BSC,换手率,上架交易所数量,当前总供应量,流通率,最大供应量,全球总市值占比,24小时成交额,官网,流通量,白皮书,区块浏览器,$0.09100000,$1.5500,Ethereum,github,交易开始日期,更新时间
1,KFA,$0.32344038,102.14%,151.74%,,,0.05%,1,"2,000,000,000 KFA",100%,"2,000,000,000 KFA",<0.01%,305419.96393587,https://www.kfacoin.com/,"2,000,000,000 KFA",https://www.kfacoin.com/,https://tronscan.org/#/token20/THScBUvbuvkiJnrva6kc45DSwy2AS22tPm,,,,,,2022-09-02 09
2,NUGEN,$0.45720053,101.23%,-39.04%,BSC,0xA62a8a65013F789367bE37e5C0afc83445F77Cc2,- -,1,"10,000,000,000 NUGEN",0%,"10,000,000,000 NUGEN",<0.01%,335721.18914373,https://www.nugencoin.com/,,,,,,,,,2022-09-02 09
3,MTRM,$0.12410014,55.13%,- -,Ethereum,,- -,2,"1,000,000,000 MTRM",0%,"1,000,000,000 MTRM",<0.01%,5933.14430934,https://mirandus.game/,,,,,,0xcd17fA52528f37FACB3028688E62ec82d9417581,,,2022-09-02 09
4,STG3L,$0.16442019,35.48%,-81.88%,,,- -,2,,- -,,<0.01%,435739.90311852,,,,,(2022-06-12),(2022-03-27),,,,2022-09-02 09
5,LINU,$0.0{8}22410,31.82%,3.70%,Ethereum,,- -,1,"1,000,000,000,000,000 LINU",0%,"1,000,000,000,000,000 LINU",<0.01%,860145.95098452,https://luna-inu.com/,,,,,,0x78132543D8E20D2417d8a07D9ae199D458A0D581,,,2022-09-02 09
6,NUTSPAY,$0.00084430,29.85%,591.48%,BSC,0xcf411d0cb3dfef3eab66543e73e0cedd07d44eca,- -,1,"10,000,000,000,000 NUTSPAY",0%,"10,000,000,000,000 NUTSPAY",<0.01%,1390.5557066099998,https://nuts-pay.com/,,https://nuts-pay.com/assets/pdf/WhitePaperNutsPay.pdf,https://bscscan.com/token/0xcf411d0cb3dfef3eab66543e73e0cedd07d44eca,,,,,,2022-09-02 09
7,UNIP,$13.1446,17.05%,-87.92%,BSC,0x966FF360433B2150f853A17F94397fD0523E2AD8,- -,1,"3,000,000,000 UNIP",0%,"3,000,000,000 UNIP",<0.01%,25953672.86207355,https://unipayofficial.com/,,https://unipayofficial.com/unipay/whitepaper.pdf,https://bscscan.com/token/0x966FF360433B2150f853A17F94397fD0523E2AD8,,,,,,2022-09-02 09
8,DC,$0.00327839,17.00%,719.60%,Ethereum,,- -,11,"1,000,000,000,000 DC",0%,"1,000,000,000,000 DC",<0.01%,43185928.6482507,https://dogechain.dog/,,,https://explorer.dogechain.dog/address/0x7B4328c127B85369D9f82ca0503B000D09CF9180/transactions,,,0x7B4328c127B85369D9f82ca0503B000D09CF9180,https://github.com/dogechain-lab/blockscout,,2022-09-02 09
9,2GCC,"$4,936.98",14.26%,22.22%,,,- -,1,,- -,,<0.01%,282253.32010353,http://www.2gcc.eu/,,,,,,,,,2022-09-02 09
10,SPUME,$0.31640037,11.88%,-15.72%,Ethereum,,227.26%,3,"100,000,000 SPUME",2.4%,"100,000,000 SPUME",<0.01%,1706189.2043233798,https://spume.io/,"2,378,000 SPUME",,,,,0xa16a609fF4e1A15b6cCb469E7a5dD14E89305283,,2022-08-28,2022-09-02 09
